calories,protein,fat,carbs,calories_per_protein,calories_per_fat,calories_per_carb
3.0,2.0,2.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,5.0,0.0,2.0,0.0,24.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,11.0,25.0,0.0
5.0,1.0,3.0,2.0,0.0,0.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
7.000000000000001,5.0,6.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
5.0,7.000000000000001,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,6.0,2.0,0.0,0.0,0.0,7.000000000000001
2.0,3.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,2.0,9.0,0.0,0.0
6.0,1.0,3.0,2.0,0.0,0.0,0.0
3.0,1.0,1.0,2.0,0.0,0.0,0.0
3.0,1.0,2.0,1.0,0.0,0.0,0.0
4.0,9.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,4.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
3.0,3.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,6.0,2.0,0.0,0.0,0.0,6.0
3.0,5.0,1.0,1.0,0.0,0.0,0.0
2.0,3.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,0.0,2.0,0.0,24.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
4.0,0.0,0.0,3.0,10.0,23.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,7.000000000000001,1.0,0.0,0.0,0.0,0.0
5.0,2.0,3.0,2.0,0.0,0.0,0.0
6.0,3.0,4.0,2.0,0.0,0.0,0.0
2.0,3.0,1.0,1.0,0.0,0.0,0.0
5.0,1.0,3.0,2.0,0.0,0.0,0.0
4.0,2.0,2.0,2.0,0.0,0.0,0.0
4.0,1.0,2.0,1.0,0.0,0.0,0.0
1.0,7.000000000000001,0.0,0.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
12.0,7.000000000000001,1.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
3.0,3.0,1.0,2.0,0.0,0.0,0.0
4.0,2.0,2.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,5.0,0.0,0.0
6.0,3.0,4.0,2.0,0.0,0.0,0.0
4.0,1.0,0.0,2.0,0.0,24.0,0.0
1.0,0.0,0.0,0.0,1.0,3.0,0.0
6.0,3.0,3.0,2.0,0.0,0.0,0.0
5.0,3.0,3.0,2.0,0.0,0.0,0.0
4.0,4.0,3.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
4.0,1.0,0.0,2.0,0.0,0.0,0.0
6.0,19.0,4.0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,4.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,10.0,24.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
4.0,3.0,1.0,2.0,0.0,0.0,0.0
3.0,2.0,2.0,0.0,0.0,0.0,0.0
2.0,5.0,1.0,0.0,0.0,0.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0
5.0,11.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,2.0,2.0,0.0,0.0,0.0
3.0,1.0,0.0,2.0,0.0,0.0,0.0
6.0,1.0,4.0,2.0,0.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
3.0,0.0,1.0,1.0,0.0,0.0,0.0
4.0,5.0,0.0,2.0,0.0,0.0,0.0
3.0,6.0,2.0,1.0,0.0,0.0,0.0
2.0,7.000000000000001,1.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
3.0,5.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,6.0,1.0,1.0,0.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
1.0,2.0,0.0,1.0,0.0,0.0,0.0
11.0,5.0,2.0,0.0,0.0,0.0,0.0
18.0,5.0,1.0,2.0,0.0,0.0,0.0
4.0,1.0,1.0,2.0,0.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,4.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,4.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
1.0,4.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,2.0,8.0,20.0,0.0
6.0,24.0,4.0,0.0,0.0,0.0,14.000000000000002
1.0,2.0,0.0,1.0,0.0,0.0,0.0
5.0,4.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
4.0,0.0,0.0,3.0,11.0,0.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
4.0,3.0,0.0,2.0,0.0,22.0,0.0
3.0,7.000000000000001,2.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,2.0,1.0,6.0,0.0,0.0
1.0,0.0,0.0,0.0,2.0,6.0,2.0
2.0,3.0,0.0,1.0,0.0,0.0,0.0
6.0,2.0,4.0,2.0,0.0,0.0,0.0
6.0,4.0,6.0,1.0,0.0,0.0,0.0
5.0,7.000000000000001,5.0,0.0,0.0,0.0,12.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
5.0,3.0,3.0,2.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,10.0,23.0,0.0
5.0,8.0,3.0,0.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
3.0,4.0,2.0,1.0,0.0,0.0,0.0
4.0,4.0,0.0,2.0,0.0,0.0,0.0
3.0,4.0,1.0,2.0,0.0,0.0,0.0
3.0,0.0,0.0,3.0,9.0,21.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,2.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,7.000000000000001,2.0,0.0,0.0,0.0,6.0
7.000000000000001,9.0,2.0,2.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,7.000000000000001,2.0,0.0,0.0,0.0,6.0
4.0,1.0,1.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,3.0,1.0,1.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,0.0
6.0,3.0,4.0,2.0,0.0,0.0,0.0
3.0,5.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
6.0,2.0,1.0,1.0,0.0,0.0,0.0
6.0,19.0,4.0,0.0,0.0,0.0,0.0
23.0,3.0,3.0,2.0,0.0,0.0,0.0
6.0,3.0,4.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,2.0,2.0,11.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,3.0,0.0,1.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
3.0,6.0,3.0,0.0,0.0,0.0,0.0
5.0,19.0,4.0,0.0,0.0,0.0,12.0
4.0,0.0,0.0,3.0,9.0,22.0,0.0
3.0,6.0,2.0,0.0,0.0,0.0,6.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
18.0,2.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,0.0,3.0,0.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,10.0,24.0,0.0
6.0,0.0,4.0,2.0,15.0,0.0,0.0
5.0,1.0,3.0,2.0,0.0,0.0,0.0
5.0,3.0,3.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
3.0,6.0,2.0,0.0,0.0,0.0,7.000000000000001
5.0,4.0,3.0,2.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,3.0,0.0
2.0,3.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0
5.0,2.0,3.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,1.0,2.0,1.0,0.0,0.0,0.0
2.0,6.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,11.0,25.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
5.0,4.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
4.0,0.0,0.0,3.0,11.0,26.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
2.0,7.000000000000001,1.0,1.0,0.0,0.0,0.0
3.0,1.0,2.0,1.0,0.0,0.0,0.0
16.0,5.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,3.0,8.0,0.0
1.0,2.0,0.0,1.0,0.0,0.0,0.0
15.0,19.0,12.0,1.0,0.0,0.0,0.0
6.0,19.0,4.0,0.0,0.0,0.0,14.000000000000002
3.0,6.0,2.0,0.0,0.0,0.0,6.0
4.0,1.0,1.0,2.0,0.0,0.0,0.0
3.0,3.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,1.0,0.0,0.0,0.0
3.0,5.0,0.0,2.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,3.0,1.0,2.0,0.0,0.0,0.0
0.0,0.0,3.0,2.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
3.0,1.0,0.0,2.0,0.0,19.0,0.0
6.0,24.0,4.0,0.0,0.0,0.0,14.000000000000002
7.000000000000001,8.0,1.0,0.0,0.0,0.0,16.0
4.0,0.0,3.0,1.0,11.0,0.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
3.0,7.000000000000001,2.0,0.0,0.0,0.0,0.0
5.0,5.0,3.0,1.0,0.0,0.0,0.0
3.0,4.0,2.0,1.0,0.0,0.0,0.0
5.0,1.0,3.0,2.0,0.0,0.0,0.0
2.0,3.0,1.0,1.0,0.0,0.0,0.0
2.0,5.0,1.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
1.0,0.0,0.0,0.0,1.0,3.0,0.0
3.0,0.0,0.0,2.0,8.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0
6.0,3.0,4.0,1.0,0.0,0.0,0.0
5.0,4.0,3.0,2.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,1.0,1.0,2.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
3.0,0.0,2.0,0.0,9.0,0.0,0.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,10.0,25.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
3.0,4.0,0.0,2.0,0.0,0.0,0.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0
2.0,2.0,0.0,1.0,0.0,0.0,0.0
2.0,3.0,1.0,1.0,0.0,0.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
5.0,1.0,3.0,2.0,0.0,0.0,0.0
5.0,2.0,3.0,2.0,0.0,0.0,0.0
3.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,5.0,1.0,1.0,0.0,0.0,0.0
2.0,6.0,1.0,1.0,0.0,0.0,0.0
1.0,7.000000000000001,0.0,0.0,0.0,0.0,0.0
3.0,5.0,2.0,1.0,0.0,0.0,0.0
1.0,2.0,1.0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,10.0,23.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
3.0,2.0,0.0,2.0,0.0,18.0,0.0
2.0,8.0,2.0,0.0,0.0,0.0,6.0
3.0,4.0,0.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,4.0,0.0,2.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
3.0,2.0,1.0,2.0,0.0,0.0,0.0
5.0,4.0,2.0,2.0,0.0,0.0,0.0
5.0,4.0,3.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,5.0,0.0,2.0,0.0,21.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,3.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
6.0,2.0,5.0,1.0,0.0,0.0,0.0
5.0,1.0,3.0,2.0,0.0,0.0,0.0
5.0,2.0,3.0,2.0,0.0,0.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
2.0,3.0,0.0,1.0,0.0,0.0,0.0
1.0,2.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
3.0,3.0,0.0,2.0,0.0,20.0,0.0
3.0,2.0,2.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,3.0,0.0,0.0
3.0,2.0,2.0,1.0,0.0,0.0,0.0
5.0,2.0,3.0,2.0,0.0,0.0,0.0
3.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,11.0,26.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,1.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
4.0,1.0,2.0,2.0,0.0,0.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
4.0,1.0,1.0,2.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,11.0,26.0,0.0
4.0,3.0,1.0,2.0,0.0,0.0,0.0
2.0,7.000000000000001,1.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,12.0,28.000000000000004,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
1.0,0.0,0.0,0.0,1.0,3.0,0.0
2.0,3.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
5.0,6.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
4.0,3.0,1.0,2.0,0.0,0.0,0.0
16.0,3.0,0.0,2.0,0.0,0.0,0.0
3.0,6.0,2.0,0.0,0.0,0.0,7.000000000000001
1.0,7.000000000000001,0.0,0.0,0.0,0.0,2.0
3.0,1.0,0.0,0.0,0.0,18.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,2.0,0.0
2.0,5.0,1.0,1.0,0.0,0.0,0.0
2.0,5.0,2.0,0.0,0.0,0.0,6.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
3.0,0.0,0.0,2.0,9.0,22.0,0.0
5.0,1.0,2.0,2.0,0.0,0.0,0.0
5.0,7.000000000000001,4.0,0.0,0.0,0.0,0.0
5.0,3.0,0.0,1.0,0.0,33.0,0.0
3.0,3.0,0.0,2.0,0.0,21.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
5.0,7.000000000000001,2.0,2.0,0.0,0.0,0.0
3.0,4.0,0.0,1.0,0.0,0.0,0.0
9.0,11.0,1.0,0.0,0.0,0.0,21.0
2.0,4.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,11.0,26.0,0.0
3.0,2.0,1.0,2.0,0.0,0.0,0.0
3.0,4.0,2.0,1.0,0.0,0.0,0.0
2.0,3.0,1.0,1.0,0.0,0.0,0.0
3.0,1.0,2.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
3.0,1.0,0.0,2.0,0.0,20.0,0.0
3.0,0.0,0.0,2.0,7.000000000000001,17.0,0.0
6.0,5.0,4.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,7.000000000000001,2.0,0.0,0.0,0.0,7.000000000000001
4.0,1.0,1.0,2.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.0,3.0,2.0,0.0,0.0,0.0
4.0,6.0,2.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
3.0,3.0,0.0,2.0,0.0,0.0,0.0
6.0,0.0,5.0,1.0,17.0,0.0,0.0
1.0,6.0,1.0,0.0,0.0,0.0,0.0
6.0,3.0,4.0,2.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0
1.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
3.0,2.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
6.0,2.0,5.0,1.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,1.0,3.0,0.0
3.0,5.0,1.0,1.0,0.0,0.0,0.0
3.0,3.0,0.0,2.0,0.0,0.0,0.0
3.0,4.0,2.0,0.0,0.0,0.0,0.0
3.0,8.0,2.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,11.0,0.0,0.0
3.0,0.0,0.0,2.0,9.0,21.0,0.0
5.0,4.0,2.0,2.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,0.0
3.0,5.0,3.0,0.0,0.0,0.0,0.0
4.0,2.0,2.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
5.0,2.0,1.0,2.0,0.0,0.0,0.0
4.0,4.0,0.0,3.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,7.000000000000001,2.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,10.0,24.0,0.0
6.0,9.0,5.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,1.0,2.0,10.0,0.0,0.0
4.0,11.0,3.0,0.0,0.0,0.0,0.0
4.0,2.0,2.0,2.0,0.0,0.0,0.0
4.0,2.0,1.0,2.0,0.0,0.0,0.0
2.0,3.0,1.0,0.0,0.0,0.0,0.0
9.0,8.0,0.0,6.0,0.0,60.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
6.0,3.0,4.0,2.0,0.0,0.0,0.0
8.0,0.0,9.0,0.0,22.0,0.0,19.0
3.0,0.0,0.0,3.0,9.0,21.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
4.0,2.0,2.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,8.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
4.0,4.0,2.0,2.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.0,4.0,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,0.0,2.0,0.0,0.0,0.0
3.0,3.0,1.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,0.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
4.0,2.0,2.0,1.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
6.0,13.0,4.0,0.0,0.0,0.0,13.0
3.0,5.0,2.0,1.0,0.0,0.0,0.0
1.0,3.0,1.0,0.0,0.0,0.0,0.0
4.0,7.000000000000001,4.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,2.0,11.0,27.0,0.0
3.0,3.0,0.0,2.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
5.0,2.0,2.0,2.0,0.0,0.0,0.0
4.0,5.0,1.0,2.0,0.0,0.0,0.0
6.0,7.000000000000001,5.0,1.0,0.0,0.0,0.0
3.0,14.000000000000002,1.0,1.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,6.0,0.0,0.0,0.0,0.0,0.0
6.0,21.0,4.0,0.0,0.0,0.0,14.000000000000002
3.0,1.0,1.0,1.0,0.0,0.0,0.0
6.0,19.0,4.0,0.0,0.0,0.0,14.000000000000002
3.0,1.0,0.0,2.0,0.0,0.0,0.0
4.0,3.0,2.0,1.0,0.0,0.0,0.0
3.0,2.0,2.0,1.0,0.0,0.0,0.0
3.0,3.0,1.0,2.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,0.0
2.0,2.0,0.0,2.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,10.0,23.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0
4.0,2.0,2.0,2.0,0.0,0.0,0.0
5.0,3.0,3.0,1.0,0.0,0.0,0.0
6.0,7.000000000000001,5.0,1.0,0.0,0.0,0.0
2.0,4.0,1.0,1.0,0.0,0.0,0.0
3.0,5.0,1.0,1.0,0.0,0.0,0.0
6.0,21.0,4.0,0.0,0.0,0.0,0.0
4.0,2.0,2.0,2.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0
3.0,3.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,5.0,0.0,0.0
3.0,0.0,0.0,2.0,9.0,21.0,0.0
1.0,0.0,0.0,0.0,2.0,4.0,0.0
4.0,2.0,2.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,2.0,5.0,0.0
2.0,2.0,1.0,1.0,0.0,0.0,0.0
